,First name,Last name,Research Area
46,Steven,Bender,"('Orofacial pain, ', 'Sleep disorders, ', 'Trigeminal neuralgia, ', 'Neuralgia, Facial, ', 'Temporomandibular joint--Diseases')"
47,Regina,Bentley,"('Service learning, ', 'Interprofessional education')"
48,Amine,Benzerga,"('Structural dynamics, ', 'Nanostructured materials, ', 'Polymers, ', 'Plasticity, ', 'Metals--Fracture, ', 'Magnesium alloys, ', 'Nonlinear theories, ', 'Mechanics')"
49,Luc,Berghman,"('Endocrinology, ', 'Neuroendocrinology, ', 'Poultry--Diseases, ', 'Monoclonal antibodies, ', 'Immunoassay, ', 'Immunology, ', 'Vaccines')"
50,Leonard,Berry,"('Medical care, ', 'Marketing, ', 'Relationship marketing')"
51,Muna,Bhattarai,"('Positive psychology, ', 'Mental health, ', 'People with disabilities, ', 'Well-being, ', 'Resilience (Personality trait), ', 'Mindfulness (Psychology)')"
52,Susanneh,Bieber,"('History in art, ', 'Architecture, Modern, ', 'Art, Modern, ', 'Feminism and art')"
53,Jane,Bolin,"('Breast--Cancer, ', 'Chronic diseases, ', 'Cervix uteri--Cancer, ', 'Colon (Anatomy)--Cancer, ', 'Diabetes')"
54,Iman,Borazjani,"('Fluid-structure interaction, ', 'Computational fluid dynamics, ', 'Fluid dynamics--Mathematical models, ', 'Fluid dynamics, ', 'High performance computing, ', 'Fluid mechanics')"
55,Alejandro,Borges,"('Art, ', 'Industrial design, ', 'Architecture, ', 'City planning')"
56,Thomas,Boutton,"('Nitrogen cycle, ', 'Phosphorus cycle (Biogeochemistry), ', 'Grassland ecology, ', 'Forest ecology, ', 'Land Use and Cover Change, ', 'Savanna ecology, ', 'Carbon cycle (Biogeochemistry), ', 'Biogeochemistry, ', 'Stable isotopes in ecological research')"
57,Lisa,Bowman-Perrott,"('Meta-analysis, ', 'Second language pedagogy, ', 'Second language acquisition, ', 'Behavior disorders in children, ', 'Special Education Programs (U.S.). Technical Assistance Center on Positive Behavioral Interventions & Supports, ', 'Behavior disorders in adolescence')"
58,Barry,Boyd,"('Teaching, ', 'Learning, Psychology of, ', 'Critical thinking')"
59,Ulisses,Braga Neto,"('Signal processing, ', 'Pattern recognition systems, ', 'Machine learning')"
60,Sandra,Braman,"('Information policy, ', 'Communication, ', 'Law')"
61,Gary,Briers,"('Agricultural education, ', 'Agricultural development projects, ', 'Rural youth--Education, ', 'Education, Rural, ', 'Agricultural development projects--International cooperation')"
62,Leonard,Bright,"('Organizational sociology, ', 'Employee motivation, ', 'Organizational behavior, ', 'Public administration')"
63,Donald,Brightsmith,"('Animal welfare, ', 'Rain forest ecology, ', 'Parrots, ', 'Wildlife conservation')"
64,Alan,Brill,"('Computer crimes, ', 'Computer security, ', 'Evidence, Expert')"
65,Randy,Brooks,"('Web-based instruction, ', 'Engineering--Education, ', 'Intelligent tutoring systems')"
66,Sean,Buckner,"('Digital libraries, ', 'Digital preservation, ', 'Diversity in the workplace')"
67,Christine,Budke,"('Public health, ', 'Public health disparities, ', 'Helminths, ', 'Epidemiology, ', 'Zoonoses')"
68,James,Burdine,"('Community development, ', 'Health status indicators, ', 'Public health, ', 'Public health disparities, ', 'Community health services')"
69,Mark,Burge,"('Electronic funds transfers, ', 'Contracts, ', 'Procedure (Law), ', 'Uniform commercial code')"
70,Robert,Burghardt,"('Reproductive biology, ', 'Toxicology, ', 'Cellular signal transduction')"
71,Rebecca,Burgner,"('Mobile communication systems in education, ', 'Instructional systems--Design, ', 'Educational technology')"
72,Patrick,Burkart,"('Interactive multimedia, ', 'Mass media--Social aspects, ', 'International economic relations')"
73,Shannon,Burke,"('Electronic books, ', 'Quantitative research, ', 'Information visualization, ', 'Acquisitions (Libraries), ', 'Academic libraries--Acquisitions')"
74,Cynthia,Burress,"('Texas. Legislature, ', 'Legal research, ', 'Constitutional history')"
75,Heather,Burte,"('Orientation, ', 'Wayfinding, ', 'Cognitive psychology, ', 'Cognitive neuroscience')"
76,William,Byrnes,"('Money laundering--Prevention, ', 'Taxation--International cooperation, ', 'Taxation, ', 'Finance, Personal')"
77,James,Cai,"('Computational biology, ', 'Human genetics, ', 'Science--Data processing, ', 'Quantum theory, ', 'Artificial intelligence, ', 'Machine learning--Statistical methods, ', 'Bioinformatics, ', 'Genomics, ', 'Software, ', 'Statistics, ', 'Genetic transcription, ', 'Computers--Scientific applications')"
78,Salvatore,Calabrese,"('Hydrology, ', 'Biogeochemical cycles--Mathematical models, ', 'Carbon cycle (Biogeochemistry)--Mathematical models')"
79,Irene,Calboli,"('Agricultural laws and legislation, ', 'Intellectual property, ', 'Fashion merchandising--Law and legislation, ', 'Foreign trade regulation, ', 'Comparative law, ', 'Intellectual property (International law), ', 'European Union')"
80,Heidi,Campbell,"('Religion, ', 'Technology, ', 'Culture, ', 'Electronic digital computers, ', 'Religion and sociology, ', 'Popular culture, ', 'Internet')"
81,Mary,Campbell,"('Ethnicity, ', 'Race discrimination, ', 'Racially mixed people, ', 'Equality')"
82,Sergio,Capareda,"('Biomass gasification, ', 'Air quality monitoring stations, ', 'Pyrolysis, ', 'Renewable energy sources')"
83,Sarah,Capik,"('Beef cattle, ', 'Dairy cattle')"
84,Mary,Capraro,"('Mathematics--Study and teaching (Elementary), ', 'Problem solving--Study and teaching')"
85,Robert,Capraro,"('Cognition, ', 'Project method in teaching, ', 'Project-based Learning, ', 'Symbolic Representation, ', 'Social sciences--Research, ', 'Mathematics--Study and teaching')"
86,Rodolfo,Cardoso,"('Polycystic ovary syndrome, ', 'Puberty, ', 'Reproduction, ', 'Neuroendocrinology')"
87,Martin,Carlisle,"('Computer security, ', 'ACSES (Computer system)')"
88,Genny,Carrillo,"('Asthma in children, ', 'Public health, ', 'Public health disparities, ', 'Climatic change, ', 'Climatic changes, Climate Dynamics and Prediction, ', 'Climatic changes, ', 'Environmental, ', 'Ecology, ', 'Environment, ', 'Air--Pollution')"
89,Vanessa,Casado Perez,"('Environmental law, ', 'Natural resources--Law and legislation, ', 'Property, ', 'Water--Law and legislation')"
90,Raymundo,Case,"('Materials, ', 'Stress corrosion, ', 'Corrosion and anti-corrosives')"
91,Kenneth,Casey,"('Beef cattle, ', 'Ammonia--Environmental aspects, ', 'Hydrogen sulfide--Environmental aspects, ', 'Feedlots--Environmental aspects, ', 'Dairy cattle, ', 'Greenhouse gas mitigation, ', 'Swine--Housing, ', 'Nitrous oxide--Environmental aspects, ', 'Poultry--Housing, ', 'Methane--Environmental aspects, ', 'Agricultural pollution--Measurement')"
92,Sankar,Chaki,"('Host-parasite relationships, ', 'Fertility, ', 'Brucellosis, ', 'Physiology, ', 'Molecular biology, ', 'COVID-19 (Disease), ', 'Cytoskeleton--Formation, ', 'Vaccines')"
93,Joydeep,Chakraborty,"('Nerves, Peripheral--Diseases, ', 'Nutrition, ', 'Protein engineering, ', 'Apoptosis--Research, ', 'DNA damage')"
94,Sanjukta,Chakraborty,"('Inflammation, ', 'MicroRNA, ', 'Lymphatics, ', 'Metabolism--Disorders, ', 'Cancer')"
95,Dhruva,Chakravorty,"('Computer software',)"
96,Kristin,Chaney,"('Learning--Study and teaching, ', 'Curriculum planning, ', 'Educational tests and measurements--Evaluation')"
97,Jiang,Chang,"('Heart--Diseases',)"
98,Ping,Chang,"('Climatic change, ', 'Climatic changes, Climate Dynamics and Prediction, ', 'Climatic changes')"
99,Robert,Chapkin,"('Stem cells',)"
100,Laurie,Charles,"('Simulation methods, ', 'Child abuse, ', 'Human trafficking, ', 'Forensic sciences, ', 'Child sexual abuse, ', 'Human sexuality, ', 'Sex, ', 'Nursing')"
101,Phapanin,Charoenphol,"('Cell adhesion, ', 'Hemodynamics, ', 'Drug delivery systems')"
102,Diane,Chico,"('Medical education',)"
103,Iftekharudd,Choudhury,"('Appropriate technology, ', 'Mechanical and electrical systems in buildings')"
104,Mahua,Choudhury,"('Non-coding RNA, ', 'Biochemical markers, ', 'Biomarkers, ', 'Molecular biology, ', 'MicroRNA, ', 'Epigenetics, ', 'Pathology')"
105,Heather,Clark,"('Community development, ', 'Needs assessment, ', 'Public health, ', 'Public health disparities, ', 'Community organization, ', 'Social sciences--Network analysis, ', 'Public health--Evaluation, ', 'Health planning')"
