,First name,Last name,Research Area
200,Randy,Gordon,"('Class actions (Civil procedure), ', 'Antitrust law, ', 'Racketeer Influenced and Corrupt Organizations Act (United States), ', 'Law--Study and teaching')"
201,Phillip,Gray,"('Just war doctrine, ', 'Terrorism, ', 'Totalitarianism')"
202,Michael,Green,"('Employee rights, ', 'Labor laws and legislation, ', 'Collective bargaining, ', 'Federal Rules of Evidence (United States), ', 'Civil procedure, ', 'Dispute resolution (Law), ', 'Discrimination in employment')"
203,Robert,Greer,"('Special districts, ', 'Debts, Public--Management, ', 'Cities and towns, ', 'Municipal bonds, ', 'Capital budget, ', 'Public administration, ', 'Local government, ', 'Public utilities--Government policy, ', 'Finance, Public, ', 'Government spending policy, ', 'Infrastructure (Economics)--Finance, ', 'Urban policy, ', 'Infrastructure (Economics)--Government policy')"
204,Carl,Gregory,"('Bones--Diseases, ', 'Bone, ', 'Stem cells--Research')"
205,John,Griffin,"('Magnetic resonance imaging',)"
206,David,Griffith,"('Interorganizational relations--Research, ', 'Export marketing, ', 'Interorganizational relations--Management, ', 'Global business, ', 'New products')"
207,Melissa,Grunlan,"('Polymers, ', 'Colloids, ', 'Coatings, ', 'Tissue engineering')"
208,Burak,Guneralp,"('Global environmental change, ', 'Sustainability, ', 'Urban geography')"
209,Bing,Guo,"('Image processing, ', 'Dust, ', 'Artificial intelligence, ', 'Combustion, ', 'Electrodynamics, ', 'Air quality, ', 'Aerosols, ', 'Solar energy')"
210,Shaodong,Guo,"('Insulin resistance, ', 'Diabetes--Complications, ', 'Metabolism--Disorders')"
211,Douglas,Hahn,"('Computer games, ', 'Digital libraries, ', 'Linked data, ', 'Computer science, ', 'Games')"
212,Yousef,Haik,"('Nanostructured materials',)"
213,Daniel,Hajovsky,"('Intelligence tests, ', 'Longitudinal method, ', 'Academic achievement, ', 'Teacher-student relationships, ', 'Structural equation modeling')"
214,Trevor,Hale,"('Facility location, ', 'Energy storage--Research, ', 'Warehouses--Management, ', 'Business logistics, ', 'Supply chain management, ', 'Graph theory')"
215,Malikah,Hall,"('Blogs, ', 'Library science, ', 'Law--Study and teaching, ', 'Library outreach programs, ', 'Reference services (Libraries), ', 'Human Resource Development and African Americans, ', 'Education, ', 'Legal research')"
216,D. Kirk,Hamilton,"('Health facilities, ', 'Organizational change, ', 'Intensive care nursing, ', 'Evidence-based design, ', 'Intensive care units')"
217,Tracy,Hammond,"('Drawing, ', 'Pen-based computers, ', 'Science--Data processing, ', 'Human activity recognition, ', 'Artificial intelligence, ', 'Engineering--Education, ', 'Virtual reality in education, ', 'Computer science, ', 'Eye tracking, ', 'Pattern perception, ', 'Machine learning')"
218,Gang,Han,"('Cancer--Mathematical models, ', 'Computer science--Experiments, ', 'Bayesian data analysis, ', 'Bayesian statistical decision theory, ', 'Clinical trials, ', 'Survival analysis (Biometry), ', 'Statistics')"
219,Rebecca,Hankins,"('Comic books, strips, etc., ', 'Humanities--Digital libraries, ', 'Library science, ', 'Digital humanities, ', 'Diversity, Gender and Cultural, ', 'Cultural pluralism, ', 'Critical pedagogy, ', 'Sexual minorities, ', 'Bibliography, ', 'Fantasy fiction, ', 'Race relations, ', 'Archives, ', 'Oral history--Archival resources, ', 'Cultural competence, ', 'Oral history--Methodology, ', 'Popular culture, ', 'Science fiction')"
220,Dinah,Hannaford,"('Italy, ', 'Emigration and immigration, ', 'Economic development, ', 'France, ', 'Women in development, ', 'Senegal')"
221,Robert,Hardin,"('Agricultural engineering, ', 'Agricultural processing, ', 'Agricultural engineering--Data processing, ', 'Automation')"
222,Yasha,Hartberg,"('Evolution (Biology), ', 'Social evolution, ', 'Genes, ', 'Heredity')"
223,Berna,Hascakir,"('Oil field brines, ', 'Carbon dioxide enhanced oil recovery, ', 'Enhanced oil recovery')"
224,Nathan,Hawk,"('Educational psychology, ', 'Values, ', 'Educational technology--Study and teaching, ', 'Self-efficacy, ', 'Educational technology, ', 'Mathematics--Study and teaching')"
225,Shiqing,He,"('Visualization, ', 'Art, ', 'Human-computer interaction, ', 'Generative art')"
226,Weiling,He,"('Creative thinking, ', 'Abstraction, ', 'Design')"
227,Gregory,Heim,"('Information technology--Management, ', 'Business logistics, ', 'Supply chain management, ', 'Operations management')"
228,Kevin,Heinz,"('Insects--Ecology, ', 'Weeds--Biological control, ', 'Insect pests--Biological control')"
229,Terri,Helge,"('Nonprofit organizations, ', 'Estate planning, ', 'Trusts and trustees')"
230,William,Henning,"('Uniform commercial code. Secured transactions, ', 'Uniform commercial code, ', 'Uniform commercial code. Sales')"
231,Bruce,Herbert,"('Science--Study and teaching, ', 'Communication in learning and scholarship, ', 'Research--Management, ', 'Open access, ', 'Academic-industrial collaboration, ', 'Soils--Quality, ', 'Education, Higher, ', 'Geochemistry, ', 'Libraries, ', 'Environmental education')"
232,Jennifer,Herman,"('Cell division, ', 'Microbial metabolism, ', 'Bacillus (Bacteria), ', 'DNA replication, ', 'Bacterial genetics')"
233,Paul,Hernandez,"('Social sciences, ', 'Educational tests and measurements, ', 'Educational assessment, ', 'Mentoring, ', 'Diversity in the workplace, ', 'Education--Experimental methods')"
234,JosÃ©,HernÃ¡ndez-MuÃ±oz,"('Evidence-based medicine, ', 'Pharmacoepidemiology, ', 'Biostatistics, ', 'Geriatric pharmacology')"
235,Luz,Herrera,"('Professional ethics, ', 'Law--Study and teaching (Clinical education), ', 'Experiential learning')"
236,Andy,Herring,"('Beef cattle--Genetics Beef production systems',)"
237,John,Hettema,"('Human genetics, ', 'Anxiety disorders')"
238,Joshua,Hicks,"('Mortality, ', 'Well-being, ', 'Ethics, ', 'Meaning (Psychology), ', 'Authenticity (Philosophy), ', 'Existential psychology')"
239,Sara,,"('Identity (Psychology), ', 'Women in engineering, ', 'Second language pedagogy, ', 'Second language acquisition, ', 'Arabian Peninsula, ', 'Heritage language speakers, ', 'Heritage language learners, ', 'Language and languages--Variation, ', 'Multilingualism, ', 'Sociolinguistics, ', 'Ideology, ', 'Arabic language, ', 'Emotions, ', 'Group identity, ', 'Applied linguistics, ', 'Qatar, ', 'Intercultural communication--Social aspects, ', 'Discourse analysis, ', 'English language--Foreign countries, ', 'Translanguaging (Linguistics)')"
240,Brian,Holland,"('Entrepreneurship, ', 'Intellectual property, ', 'Technology--Law and legislation, ', 'Privacy, Right of, ', 'Constitutional law, ', 'Privacy Protection Act of 1980 (United States)')"
241,Irina,Holmes,"('Harmonic analysis, ', 'Integral operators, ', 'Probability')"
242,Michelle,Hook,"('Spinal cord--Wounds and injuries--Treatment, ', 'Spinal cord--Wounds and injuries--Psychological aspects, ', 'Spinal cord--Wounds and injuries--Research')"
243,Felice,House,"('Feminism, ', 'Painting, ', 'Drawing, ', 'Art, ', 'Feminist art criticism')"
244,Jessica,Howell,"('Postcolonialism in literature, ', 'Malaria, ', 'Schreiner, Olive, 1855-1920, ', 'Conrad, Joseph, 1857-1924, ', 'Literature, ', 'Nineteenth century, ', 'Voyages and travels')"
245,Xinping,Hu,"('Ocean acidification, ', 'Carbon cycle (Biogeochemistry)')"
246,David,Hubbard,"('Learning and scholarship, ', 'Collection development (Libraries), ', 'Bibliometrics, ', 'Engineering--Education, ', 'Academic libraries')"
247,Angela,Hudson,"('Ethnicity, ', 'Popular culture, ', 'Southern States, ', 'Indians of North America')"
248,Valerie,Hudson,"('National security, ', 'Women, ', 'International relations')"
249,Robert,Hutchison,"('Opioids--Therapeutic use, ', 'Hallucinogenic drugs, ', 'Diabetes, ', 'Opioids, ', 'Anesthesia, ', 'Pain--Treatment, ', 'Local anesthetics, ', 'Cannabinoids--Therapeutic use, ', 'Antipyretics, ', 'Cannabis')"
250,Jenny,Hyde,"('Bacterial diseases--Pathogenesis, ', 'Lyme disease, ', 'Natural immunity')"
251,Thomas,Iliffe,"('Marine biology, ', 'Marine biology, Scientific Diving, Caves, Biospeleology, Ecology, Biogeography, Conservation, Evolution, Caribbean, Taxonomy')"
252,Carolyn,Jackson,"('Data management, ', 'Database management, ', 'Systematic reviews (Medical research), ', 'Library orientation, ', 'Academic libraries, ', 'Information literacy')"
253,Abhishek,Jain,"('Biomedical engineering, ', 'Microfluidics, ', 'Blood-vessels--Diseases, ', 'Tissue engineering')"
254,Marlon,James,"('African Americans--Education, ', 'Culturally relevant pedagogy, ', 'Education, Urban, ', 'Minorities--Education')"
255,Wonhyeok,Jang,"('Electric power systems',)"
256,Daniel,Jimenez,"('Computer science',)"
257,Emily,Johansen,"('Cosmopolitanism',)"
258,Charles,Johnson,"('Plant breeding--Research, ', 'Plant physiology, ', 'DNA microarrays, ', 'Genetics, ', 'MicroRNA, ', 'Agriculture, ', 'Bioinformatics, ', 'Genomics, ', 'Genotype-environment interaction')"
259,Michael,Johnson,"('Engineering--Education, ', 'Computer-aided design')"
260,Selina,Johnson,"('Exercise, ', 'Community development, ', 'Health services accessibility, ', 'Public health, ', 'Public health disparities, ', 'Lifestyles--Health aspects')"
261,Eli,Jones,"('Corporations',)"
262,Vijay,Joshi,"('Plant nutrients, ', 'Nitrogen, ', 'Amino acids--Metabolism')"
263,John,Junkins,"('Astrodynamics--Research',)"
264,Laura,Jurgens,"('Fisheries, ', 'Coastal zone management, ', 'Resilience (Ecology), ', 'Climatic change, ', 'Climatic changes, Climate Dynamics and Prediction, ', 'Climatic changes, ', 'Invertebrates, ', 'Biodiversity, ', 'Environmental, ', 'Ecology, ', 'Environment')"
265,Faizan,Kabani,"('Cultural competence, ', 'Children with disabilities, ', 'Dental public health')"
266,James,Kaihatu,"('Tsunamis, ', 'Ocean waves, ', 'Sediment transport, ', 'Storm surges')"
267,Konstantinos,Kakosimos,"('Augmented reality, ', 'Risk assessment, ', 'Photocatalysis, ', 'Energy storage, ', 'Computational fluid dynamics, ', 'Air quality, ', 'Hydrogen, ', 'Solar thermal energy, ', 'Solar energy, ', 'Air--Pollution')"
268,Stavros,Kalafatis,"('Weeds--Control, ', 'Software-defined networking (Computer network technology), ', 'Artificial intelligence, ', 'Robotics, ', 'Agriculture--Automation, ', 'Natural language processing, ', 'Human-robot interaction, ', 'Nonvolatile random-access memory, ', 'Augmented reality, ', 'Virtual reality, ', 'Computer networks, ', 'Autonomous robots, ', 'High performance computing, ', 'Computer architecture')"
269,Hilaire,Kallendorf,"('Hispanists, ', 'Renaissance, ', 'Comparative literature, ', 'Religions')"
270,Jun,Kameoka,"('Microfluidics, ', 'Biosensors')"
271,Jason,Karpac,"('Aging, ', 'Energy metabolism, ', 'Genetics, ', 'Immunity')"
272,Wendi,Kaspar,"('Organizational change, ', 'Library outreach programs, ', 'Editing, ', 'Personnel management, ', 'Academic libraries')"
273,Kimberly,Kattari,"('Subculture',)"
274,Roland,Kaunas,"('Biopolymers, ', 'Bioreactors, ', 'Hemodynamics, ', 'Regenerative medicine, ', 'Blood-vessels--Diseases, ', 'Extracellular matrix proteins, ', 'Microfluidic devices, ', 'Bone metastasis, ', 'Bone marrow cells--Therapeutic use, ', 'Three-dimensional printing, ', 'Bone regeneration, ', 'Tissue engineering, ', 'Stem cells--Research')"
275,Thomas,Kent,"('Cerebrovascular disease, ', 'Dementia, ', 'Nervous system--Diseases, ', 'Nanoparticles, ', 'Blood-vessels, ', 'Nanotechnology')"
276,Irfan,Khan,"('Power electronics, ', 'Mathematical optimization, ', 'Renewable energy sources, ', 'Electric vehicles, ', 'Electric power systems')"
277,Maysam,Kiani,"('Roads--Safety measures, ', 'Finite element method, ', 'Fracture mechanics, ', 'Multiscale modeling, ', 'Automobiles--Crashworthiness, ', 'Motor vehicles--Dynamics--Computer simulation')"
278,Jeonghee,Kim,"('Nervous system--Diseases, ', 'Behavioral assessment, ', 'Biomedical engineering, ', 'Disease Diagnosis, ', 'Diagnosis')"
279,Yong-Rak,Kim,"('Damages, ', 'Viscoelasticity, ', 'Fracture mechanics, ', 'Materials, ', 'Multiscale modeling')"
280,Chelsea,Knutson,"('Communication, ', 'Education, Higher, ', 'Nursing')"
281,Hye Chung,Kum,"('Child welfare--Evaluation, ', 'Big data, ', 'Medical care, ', 'Sequential pattern mining, ', 'Medical record linkage, ', 'Data mining')"
282,Narendra,Kumar,"('Inflammatory bowel diseases, ', 'Inflammation, ', 'Drugs--Testing, ', 'Protein-tyrosine kinase, ', 'Metabolic syndrome, ', 'Pharmacokinetics')"
283,Gerard,Kyle,"('Conservation of natural resources, ', 'Environmental psychology, ', 'Conservation (Psychology), ', 'Wildlife conservation')"
284,Antonio,La Pastina,"('Mass media--Audiences',)"
285,Carol,LaFayette,"('Interdisciplinary research, ', 'Art, ', 'Visual communication, ', 'Technology, ', 'Creative ability, ', 'Creativity, ', 'Interactive multimedia')"
286,Shoufeng,Lan,"('Plasmonics, ', 'Optoelectronics, ', 'Nanophotonics, ', 'Metamaterials')"
287,Jeffrey,Liew,"('Emotions and cognition, ', 'Parenting, ', 'Personality, ', 'Developmental psychology, ', 'Empathy in children, ', 'Self-control, ', 'Temperament, ', 'Resilience (Personality trait), ', 'Emotions in children, ', 'Child development, ', 'Empathy, ', 'Human Resource Development and African Americans, ', 'Education, ', 'Executive functions (Neuropsychology)')"
288,Gary,Lucas,"('Economics--Psychological aspects, ', 'Taxation, ', 'Consumer behavior--Public opinion, ', 'Law--Psychological aspects')"
289,Gregory,Luhan,"('Computational intelligence, ', 'Architecture, ', 'Solid freeform fabrication, ', 'Critical theory, ', 'Human Resource Development and African Americans, ', 'Education, ', 'Design')"
290,Joseph,Lunney,"('Social choice, ', 'Publicity (Law), ', 'Copyright, ', 'Trademarks--Law and legislation, ', 'Trade secrets, ', 'Patent laws and legislation, ', 'Law and economics')"
291,Fatma,Marouf,"('Emigration and immigration law, ', 'International law and human rights, ', 'Refugees--Legal status, laws, etc.')"
292,Susan,McKee,"('College students, ', 'Stress (Psychology), ', 'Health promotion, ', 'Mindfulness (Psychology), ', 'Nursing students, ', 'Anxiety')"
293,Mutlu,Mete,"('Image processing, ', 'Parallel processing (Electronic computers), ', 'Image processing--Digital techniques, ', 'Bioinformatics, ', 'Data mining')"
294,Susan,Milstein,"('Human sexuality, ', 'Sex')"
295,Benjamin,Montemayor,"('Minorities, ', 'Drug testing, ', 'Drug abuse--Prevention, ', 'Alcohol, ', 'Cannabis')"
296,Angela,Mulcahy,"('Simulation methods, ', 'Terminal care, ', 'Nursing--Study and teaching, ', 'Nursing')"
297,Theresa,Murphrey,"('Technological innovations, ', 'Teaching, ', 'Study skills, ', 'Evaluation')"
298,Mary,Nabity,"('Alport syndrome, ', 'Biochemical markers, ', 'Biomarkers, ', 'Canine glomerular disease, ', 'Chronic renal failure')"
299,Andrea,Ogilvie,"('Engineering--Education',)"
300,Kevin,Ong,"('Plants--Microbiology, ', 'Plant diseases')"
301,Joseph,Orr,"('Magnetic resonance imaging, ', 'Electroencephalography, ', 'Human multitasking, ', 'Decision making, ', 'Brain stimulation, ', 'Executive functions (Neuropsychology)')"
302,Christopher,Owens,"('Transgender people, ', 'HIV infections--Prevention, ', 'Gay men--Sexual behavior, ', 'Health behavior, ', 'Mixed methods research, ', 'Gay men, ', 'Qualitative research, ', 'Sexual minorities--Population, ', 'Sexual minorities, ', 'HIV-positive persons--Care, ', 'Teenagers--Sexual behavior, ', 'Human sexuality, ', 'Sex')"
303,Konstantinos,Pappas,"('Europe--European Union countries, ', 'Emigration and immigration, ', 'Sustainable development, ', 'Agriculture--Economic aspects, ', 'Climatic change, ', 'Climatic changes, Climate Dynamics and Prediction, ', 'Climatic changes, ', 'Emergency management, ', 'European Union, ', 'Geography')"
304,Walter,Peacock,"('Hazard mitigation, ', 'Disasters--Social aspects, ', 'Quantitative research, ', 'Housing, ', 'Regional planning')"
305,Ragan,Petrie,"('Economics--Psychological aspects, ', 'Experimental economics, ', 'Charities, ', 'Human Resource Development and African Americans, ', 'Education')"
306,Timothy,Powers,"('Universities and colleges--Faculty, ', 'College students, ', 'Higher education and state, ', 'Student affairs administrators')"
307,Tammie,Preston,"('College students, ', 'Group identity, ', 'Social capital (Sociology), ', 'Teaching, ', 'Teams in the workplace, ', 'Motivation in education, ', 'Blacks--Race identity, ', 'Leadership')"
308,J. Carlee,Purdum,"('Disaster victims--Services for, ', 'Disasters, ', 'Emergency management--Planning, ', 'Emergency management, ', 'Prisoners')"
309,Antonietta,Quigg,"('Plant physiology, ', 'Phytoplankton--Ecophysiology, ', 'Marine ecology, ', 'Biochemistry, ', 'Molecular biology, ', 'Biophysics, ', 'Evolution, ', 'Photosynthesis')"
310,Saravanan,Ramasamy,"('Chemistry, Organic, ', 'Organic compounds--Synthesis, ', 'Nanoparticles, ', 'Fluorescence spectroscopy, ', 'Journal of chemical education, ', 'Optical detectors')"
311,David,Reed,"('Greenhouse plants--Nutrition',)"
312,Jacques,Richard,"('Computational fluid dynamics, ', 'Engineering--Education, ', 'Plasma (Ionized gases), ', 'Diversity in higher education, ', 'Computational science and engineering')"
313,Monique,Rijnkels,"('Lactation--Regulation, ', 'Breast--Cancer, ', 'Mammary glands')"
314,Kristen,Rowlett,"('Research, ', 'Legal research')"
315,Matthew,SORENSON,"('Stress (Psychology), ', 'Multiple sclerosis, ', 'Fatigue')"
316,Huiyan,Sang,"('Big data, ', 'Bayesian data analysis, ', 'Bayesian statistical decision theory, ', 'Computational intelligence, ', 'Spatial analysis (Statistics)--Data processing')"
317,Lindsay,Sansom,"('Global environmental change, ', 'Water, ', 'Social sciences, ', 'Environmental policy, ', 'Risk perception, ', 'Social capital (Sociology)--Research, ', 'North America--Mexican-American Border Region, ', 'Water resources development--International cooperation, ', 'Groundwater')"
318,Jon,Skare,"('Communicable diseases, ', 'molecular pathogenesis')"
319,Gerald,Smith,"('Plant breeding, ', 'Genetics, ', 'Nitrogen--Fixation, ', 'Plants--Effect of stress on--Genetic aspects')"
320,Farida,Sohrabji,"('Sex differences, ', 'Cerebrovascular disease, ', 'MicroRNA, ', 'Estrogen, ', 'Menopause')"
321,Clifford,Stephan,"('Cancer--Research, ', 'Pharmaceutical industry, ', 'Pharmacology')"
322,Harry,Sullivan,"('Petroleum industry and trade--International cooperation, ', 'Negotiation in business, ', 'Contracts, ', 'Petroleum law and legislation')"
323,Simona,Tabacaru,"('Collection development (Libraries), ', 'Information science, ', 'Electronic books, ', 'Academic libraries--Evaluation, ', 'Information resources management, ', 'Electronic information resources, ', 'Academic libraries--Acquisitions')"
324,Paul,Taele,"('Artificial intelligence, ', 'Human-computer interaction')"
325,Lori,Taylor,"('Education--Finance, ', 'Economics')"
326,Gabriella,Ten Have,"('Medical sciences',)"
327,Heather,Thakar,"('Paleoecology, ', 'Archaeology')"
328,Samikkannu,Thangavel,"('Drug abuse, ', 'HIV infections, ', 'Neurosciences')"
329,Christopher,Thompson,"('Meta-analysis, ', 'Bayesian data analysis, ', 'Bayesian statistical decision theory, ', 'Educational statistics')"
330,Julie,Thompson,"('People with disabilities--Means of communication, ', 'Autism, ', 'Reading (Early childhood), ', 'Eye tracking, ', 'Single subject research')"
331,Tianna,Uchacz,"('Art, Renaissance, ', 'Digital humanities, ', 'Science and civilization, ', 'Art, Netherlandish, ', 'Decoration and ornament, ', 'Art and history, ', 'Skilled labor, ', 'Knowledge, Theory of, ', 'Art--Technique')"
332,Ramesh,Vemulapalli,"('Infection, ', 'Brucellosis, ', 'Leptospirosis, ', 'Molecular diagnosis, ', 'Zoonoses, ', 'Vaccines')"
333,Radhika,Viruru,"('Early childhood education, ', 'Postcolonialism')"
334,Qian,Wang,"('Physical anthropology',)"
335,Tianyi,Wang,"('Cotton, ', 'Precision agriculture, ', 'Precision farming, ', 'UAV remote sensing, ', 'Turfgrasses, ', 'Geographic information systems, ', 'Machine learning')"
336,John,Watts,"('Data management, ', 'Database management, ', 'Information literacy')"
337,William,Weare Jr.,"('Library science, ', 'Social sciences--Research, ', 'Academic libraries, ', 'Libraries, ', 'Academic libraries--Reference services')"
338,Cynthia,Werner,"('Women, ', 'Economic anthropology, ', 'Asia, Central')"
339,Jay,Woodward,"('International education, ', 'Gifted children, ', 'Creative ability, ', 'Creativity')"
340,Shari,Yvon-Lewis,"('Chemical oceanography, ', 'Ocean-atmosphere interaction, ', 'Biogeochemistry')"
341,Azlan,Zahid,"('Controlled Environment Agriculture, ', 'Deep learning (Machine learning), ', 'Remote sensing, ', 'Precision agriculture, ', 'Precision farming, ', 'Computer vision, ', 'Artificial intelligence--Agricultural applications, ', 'Robotics, ', 'Automation, ', 'Internet of things (IoT), ', 'Internet of things')"
342,Dalun,Zhang,"('School-to-work transition, ', 'Autonomy (Psychology), ', 'People with disabilities')"
343,Yige,Zhang,"('Organic geochemistry, ', 'Paleoclimatology, ', 'Isotope geology, ', 'Paleoceanography')"
344,Lin,Zhu,"('Nanostructured materials, ', 'Biomedical materials, ', 'Pharmaceutical technology, ', 'Cancer--Research, ', 'Drug delivery systems')"
345,Behbood,Zoghi,"('Emotional intelligence',)"
